Name,GameName,TagLine,Twitch,Total,OnStream,OffStream,Unknown,PctTotal,Result
STELLIEVTUBER,stellie,deal,stellievtuber,166,87,79,0,52.41%,PASS
CARMEL,carmel,cat,carmel,161,81,80,0,50.31%,PASS
TIEWHY,tiewhy,000,tiewhy,122,49,73,0,40.16%,FAIL
L0GANJG,L0ganJG,069,l0ganjg,183,183,0,0,100.00%,PASS
KIYOIT,Kiyoit,Cutie,kiyoit,143,139,4,0,97.20%,PASS
LIVIBEE,LiviHime,NA1,livibee,147,77,70,0,52.38%,PASS
CHEMICALDUMPLINGS,Chem,baos,chemicaldumplings,191,97,94,0,50.79%,PASS
KAIITANIA,twtv kaiitania,EUW2,kaiitania,0,0,0,0,0.00%,FAIL
AKANEMSKO,Nemsko,NA1,akanemsko,41,12,29,0,29.27%,FAIL
HARABUNI,Hara Buni,vtber,harabuni,76,44,32,0,57.89%,PASS
LEIA,leia,kai,leia,90,66,24,0,73.33%,PASS
SINPHO,xSinpho,NA1,sinpho,142,72,70,0,50.70%,PASS
ANARACONDA,Anaraconda,NA1,anaraconda,38,11,27,0,28.95%,FAIL
QUEENBRIARVT,QueenBriarVT,0228,queenbriarvt,85,42,43,0,49.41%,FAIL
SORALIMIT,Sora,5283,soralimit,102,64,38,0,62.75%,PASS
BECKMON_,Migi,8686,beckmon_,129,57,72,0,44.19%,FAIL
ADMIRALBAHROO,Bahroo,1234,admiralbahroo,165,101,64,0,61.21%,PASS
COMFYKUKKI,kukki,comfy,comfykukki,86,84,2,0,97.67%,PASS
OZNEREN,ozner,TMPST,ozneren,53,23,30,0,43.40%,FAIL
LISSERONI,Lisseroni,ttv,lisseroni,73,47,26,0,64.38%,PASS
AMATSUKILUNI,bread destroyer,bread,amatsukiluni,89,34,55,0,38.20%,FAIL
TRIKSLYR,Trikslyr,1337,trikslyr,198,105,93,0,53.03%,PASS
SAKURAH,sakurah,petal,sakurah,120,120,0,0,100.00%,PASS
MISTERBANHMI,mrbanhmi,9378,misterbanhmi,71,33,38,0,46.48%,FAIL
KINJOLEEF,kinjoleef,NA1,kinjoleef,33,28,5,0,84.85%,PASS
LEXEGON,lex,gon,lexegon,140,89,51,0,63.57%,PASS
MEDEAAISLING,MedeaAisling,NA1,medeaaisling,58,12,46,0,20.69%,FAIL
AGALLEON,AGalleon,AG7,agalleon,137,63,74,0,45.99%,FAIL
STRIPPIN,Strippin,0001,strippin,113,63,50,0,55.75%,PASS
TRITON,triton,dmcia,triton,75,27,48,0,36.00%,FAIL
